campaign_id,total_unique_donors
H0GA08099,21
H2OH09171,51
H2FL21074,56
H0TX04177,123
H2FL20290,13
H2UT03256,34
H0TX24233,66
H0OH13201,12
H2ME02196,36
H2TX26176,20
H2IL06082,27
H2FL25018,63
H0IN01333,13
H2GA10240,124
H2MO04207,62
H2CA16142,13
H2NJ11202,81
H0TX16130,18
H2NY10134,6
H8NH02275,44
H2TX14206,50
H0NM01189,48
S0AL00263,106
H2AL07173,19
H0UT04019,42
H0TX35023,5
H0CA08069,10
H0FL23116,10
S2FL00474,7
H0UT04050,83
H0MI06178,44
S2PA00604,27
H8TX21331,8
H2MO04173,120
H2MA02077,49
H0GA14113,76
H4NJ01118,139
H2TX28099,15
H2AL03032,51
H0SC01386,105
H2FL20225,25
H2TX08232,18
H0NC11191,69
H0CO02225,93
H2NH01254,6
H0MI11111,48
H0FL19163,28
H2SC02174,2
H2TX08158,49
H0CA07137,104
H2NH01262,125
H2CA39151,17
H2CO08079,56
H2NC11221,39
H0IL03117,10
H2FL03197,4
H2TX01112,61
H0AZ05193,6
H0FL09081,35
S0NM00116,64
S2CO00241,87
H2FL03189,2
H0GA02258,6
H2TX07077,14
H2NC07187,29
H0MN02159,58
S0NM00066,19
H2FL24052,9
H0OR03174,42
H0GA06218,14
H2GA06131,65
H0LA05104,20
H0GA06200,36
S0OR00337,17
H0MD05225,56
H2ME02188,47
H0IA04152,45
H2OH15186,155
H0WA10109,61
H2TX26200,8
S0GA00641,49
H2NJ04181,19
H2NC07161,20
H2NC11080,39
H0MS02082,10
H4MT01033,58
H0DE01066,8
H0TX24225,6
H0NV03116,8
S2IL00150,8
S2SD00118,25
H2OK04055,18
H2PA06155,49
H0IN01242,15
H0IL11128,27
H4LA06153,17
H2OH13231,21
H2NC04176,43
H2MN03112,6
H2OH14106,18
H2NJ05303,11
H0OR03166,7
H4ID02063,61
H2AZ01370,16
H2MO07168,59
H2WI02173,11
H4KY06163,1
H8NJ02182,49
H2LA05191,2
H0CA52083,48
H0NJ06230,18
H2AL01200,1
H2GA06164,15
H0NH01316,2
H2KY01077,7
H0NJ10232,30
H2FL26073,7
H2FL21132,14
H0MI03233,7
H2TX30186,1
H2FL07206,1
H2TX20070,2
P40005928,7
H0FL23108,16
S0KS00364,9
H2TN05347,13
H6TX07128,3
H0IN01218,10
S2OR00135,27
H2NV03203,25
H2GA12154,6
H0CT01126,31
H0CA17193,24
H0FL19122,30
H0MI10303,20
H2FL06190,4
H0WA01124,40
S0TN00219,7
H0WI03142,16
H0AZ02273,6
H0MA09076,8
H2AZ02378,66
H0FL21060,3
H2WA04181,11
H0FL07184,11
H0AR01083,8
H0CA12137,29
H8WA01077,16
H0FL21110,20
H2MI06109,4
S2MO00643,53
H2DE01039,4
H0OH09167,3
H0CA45087,3
H2GA14101,9
H0CT02207,41
H2TX32141,6
H2TX17092,26
H0UT04035,9
H0CA10271,28
H0FL20153,26
H0NJ01207,6
S2CT00264,5
H2GA10224,7
H0TX22211,10
H8NV02129,2
H2CA07133,12
H2NC13201,6
H2WA08166,5
S2NY00390,5
H0CA51051,2
H0MI14230,15
H0CT04229,15
H0CT05234,85
H0GA07224,16
H0CA50202,13
H0TX23086,8
H0CA05107,1
H2FL09152,7
H0HI02221,16
H8MN07102,3
H2TX07093,3
H2SC07215,5
H0GA07307,9
H2ME02212,38
H0CA48206,8
H2NJ03233,16
H2MI06141,22
H0MD04152,2
H2NJ02235,3
H0KY03242,6
H0TX33036,4
H0AZ07090,3
