campaign_id,total_unique_donors
H2NJ10154,56
P00012427,26
H0GA04130,158
S0TX00332,49
H0TX23219,41
H0TX24159,105
H0FL03167,90
H8NY09174,34
H0PA11191,49
H8OH06133,67
H0TX11198,113
H0NC01093,53
H0MA04234,115
S2UT00302,124
H8FL15180,76
H8NC11103,57
H0MO07246,47
H0CA53164,22
H8MN01303,21
H0CA18068,112
H0SC05049,43
H0CA08226,17
H0GA04114,31
H0LA06052,46
H0CA19207,39
H2IL16065,23
H2NY12189,72
H0MS03114,10
H2NC11171,67
H2TX05220,304
H0OK01147,176
H2NJ10204,30
H0MD06264,104
H6CA01202,4
H6GA07163,18
H0CA32333,15
H0IL10369,24
H6CA24113,53
P00005439,3
H0TX27095,50
H2TX12085,91
S0OK00321,92
H6TN09068,57
H2TX35102,9
H0FL15070,36
H0NC07140,113
H0IN01176,34
H2IL18061,25
H0CA05115,13
H0FL25095,28
H2GA11230,109
S2PA00406,39
H0GA01029,222
H2GA02031,162
H8AZ08232,39
S2MO00551,94
H0AZ04519,43
H0NE02177,68
H8SC07063,13
H2TX22159,38
H2FL27055,19
H0NY10062,32
H0OR02267,76
H0IL01210,21
H0WY01028,59
H0MI03241,17
H2CO03286,16
H2CO05158,20
H0UT02286,57
H0NJ06214,3
S0IA00192,13
S0GA00609,86
H2TX35128,20
H2IL13146,134
H0IL17125,12
H8MN01246,4
H2AR03283,64
S2SC00111,25
H0CA47174,84
H2NC10116,11
H2FL14236,9
H2FL20142,101
S0CO00625,32
H2NC07138,7
H8IN07184,122
H0IL10377,59
H0CA38157,16
S8AK00082,5
H8IL15072,19
H8VA10189,20
H2NC11197,52
S0KY00354,51
H0CA53081,93
H8MN06096,97
H0NY14320,37
H2FL10184,88
H0NY02275,39
H2CT02112,48
H0TX24183,33
H0OH11122,30
H0MA04226,24
H2KY02125,21
H0GA08115,40
H0NY17232,2
H0WV03169,1
H2CA50174,38
H0NY15236,34
H0NY15152,17
H2VA05083,98
S0CO00559,219
H2OH10252,11
H8PA09081,25
H8TX13163,35
S2FL00649,161
H0OH09175,13
H0SC02079,27
H0IN01192,23
H2GA13012,78
H0TX31113,18
S0CO00609,37
H8NY11097,68
S0TX00316,47
H2MN04144,4
H2OH05054,27
H0HI02163,7
H0OK04190,32
H0CO03173,20
H8AZ08240,64
H2NY21131,6
H8GA11062,19
H0KY05155,42
H0MI07143,5
H0NC04162,8
H2NC09175,52
H8UT02271,14
S0NE00106,7
P00005942,4
H2IL01224,35
H0NY06060,61
H0HI02189,61
H6TN08250,62
H0NM03144,12
H2NJ02201,34
H8OR02161,38
H2CA50026,44
H0WI03118,47
H0NY07100,30
H2MT01094,54
S0OK00339,86
H2TX27190,52
S0ME00129,25
H0TX17138,48
H0WA06073,12
H0AZ05169,19
H8MN08100,11
S0SC00305,26
H2CA25192,12
S0CO00658,7
S2ME00109,44
S2KY00111,36
H0AL01097,54
H2IL01216,3
H0MN05285,7
S8DE00137,12
H0CA25196,12
H0NE03225,34
H0GA10251,11
H0CA49055,4
H0TX23193,21
H0NY17323,3
H0NC08247,15
S6CA00634,19
S0NC00301,19
S0IL00493,7
H0TX23144,33
H2CA12190,24
H2TX24148,23
H2GA08095,29
H0IL18065,41
H0OR02143,8
H0IN01267,20
H0TX31071,14
H2NC07104,37
H2TN05131,32
H0CA30188,28
H0TX18359,28
P00007641,16
S0KY00370,9
H0FL02086,18
H0TN02090,6
S0CO00443,13
H0TX23284,7
H2MO02185,8
S0SD00096,18
H0UT03219,8
H8OK04094,41
H0FL02193,15
H2CO05141,8
H8KY06180,17
H8CA42228,8
H2TX00015,31
H2KY06175,31
H0FL19155,8
H0MI03233,16
H2IL10118,8
H8MD02100,4
S8MS00295,6
S0TX00274,1
H0MI03258,12
H0CA47166,25
H8NJ06167,34
H6MI14195,5
H0NY09098,45
H2GA01256,5
H0TX35072,6
H6SC07018,6
H4FL21054,51
H0SC02087,7
H0PA16042,5
H0CA53180,7
S0WY00202,10
H2TX08109,5
S2AL00111,17
H0FL05162,19
P00013201,11
S0TX00308,5
H0WI03100,30
H6NC09184,22
