total_raised,total_contributions,date,committee,committee_name
17881.579999999973,516,2020-11,C00729335,FRIENDS OF NICK FREITAS INC
46366.779999999824,4281,2020-11,C00703843,BICE FOR CONGRESS
26014.72999999977,938,2020-11,C00717322,RODIMER FOR CONGRESS
31712.799999999974,611,2020-11,C00734491,MOWERS FOR CONGRESS
162600.76000000007,4581,2020-11,C00716860,JASON LEWIS FOR SENATE
23914.440000000002,1330,2020-11,C00495846,ANN WAGNER FOR CONGRESS
14392.869999999948,1389,2020-11,C00655571,YVETTE4CONGRESS
161577.81999999878,5810,2020-11,C00492454,CORY GARDNER FOR SENATE
476251.7800000005,16092,2020-11,C00314575,COLLINS FOR SENATOR
290224.7099999973,9223,2020-11,C00724914,AMERICANS FOR PARNELL COMMITTEE
7079.0,33,2020-11,C00739177,KEVIN O'CONNOR FOR U.S. SENATE INC.
51143.80999999967,3286,2020-11,C00661868,VAN DREW FOR CONGRESS
21475.35999999968,1798,2020-11,C00521948,RODNEY FOR CONGRESS
35019.24000000009,973,2020-11,C00732925,KISTNER FOR CONGRESS
2930.0,4,2020-11,C00582304,FRIENDS OF NEAL DUNN
8885.0,10,2020-11,C00632067,RON ESTES FOR CONGRESS
15712.370000000134,2121,2020-11,C00441014,ROB WITTMAN FOR CONGRESS
18683.609999999942,1382,2020-11,C00729954,GARBARINO FOR CONGRESS
20125.67000000011,1103,2020-11,C00735985,CARLOS GIMENEZ FOR CONGRESS
10928.009999999977,187,2020-11,C00733329,BYRON DONALDS FOR CONGRESS
39919.69000000013,1479,2020-11,C00570994,ALASKANS FOR DAN SULLIVAN
7463.86,95,2020-11,C00373001,CITIZENS FOR TURNER
25341.15,898,2020-11,C00376939,MARSHA FOR SENATE
5474.5999999999985,444,2020-11,C00722454,DALE CRAFTS FOR CONGRESS
11393.909999999962,409,2020-11,C00733394,TAYLOR FOR CONGRESS 2020
22825.229999999818,1343,2020-11,C00694778,NICOLE FOR NEW YORK
7949.0,252,2020-11,C00666859,MARYOTT FOR CONGRESS
109558.91000000048,4306,2020-11,C00499988,"COTTON FOR SENATE, INC."
5804.92,103,2020-11,C00548180,WESTERMAN FOR CONGRESS
12017.5,61,2020-11,C00464032,TOM REED FOR CONGRESS
13010.7299999999,1426,2020-11,C00717959,FISCHBACH FOR CONGRESS
63817.92999999993,1792,2020-11,C00714865,BETH VAN DUYNE FOR CONGRESS
123819.10000000005,138,2020-11,C00742106,LETLOW FOR CONGRESS
344754.469999999,14381,2020-11,C00665638,YOUNG KIM FOR CONGRESS
73975.77999999808,6106,2020-11,C00735688,BOGNET FOR CONGRESS
122307.7800000026,8050,2020-11,C00696872,JIM 2020 COMMITTEE
133350.03000000157,8767,2020-11,C00558825,MILLER-MEEKS FOR CONGRESS
48421.45999999964,2359,2020-11,C00652727,JOSH HAWLEY FOR SENATE
68502.2599999998,6890,2020-11,C00499392,VALADAO FOR CONGRESS
3554.8500000000026,100,2020-11,C00540617,FRIENDS OF DAVID SCHWEIKERT
